1,2,3,4,5,6,7,8,9,10,11,12,,13,14,15,16,17,18,19,20,21,22,23,24,25
I,20,20,20,20,20,20,20,50,50,50,50,,50,50,50,70,70,70,70,70,70,70,90,90,90
J,3,3,3,3,3,3,3,10,10,10,10,,10,10,10,50,50,50,50,50,50,50,10,10,10
instance,130.txt,130.txt,130.txt,130.txt,130.txt,130.txt,130.txt,235.txt,235.txt,235.txt,235.txt,,235.txt,235.txt,235.txt,404.txt,404.txt,404.txt,404.txt,404.txt,404.txt,404.txt,600.txt,600.txt,600.txt
method,nlp,iter_cuts,lazy_cuts,benders,bendersMG,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersMG,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts
of,895.9973957,895.9937964,895.0805273,895.036056,895.036056,895.036056,895.036056,2136.216377,2136.205557,2136.205557,2136.2161,2136.2163,2130.926753,2157.86502,2211.126829,6476.095069,6473.829314,6328.946618,6327.305954,6327.305954,9575.5385,10399.12299,74561.08456,74560.74215,74528.22128
FC,394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,761.9652,761.9652,761.9652,761.9652,761.9652,761.9652,786.736,838.5608,5017.8601,5017.8601,4872.7793,4872.7793,4872.7793,18168.1734,9428.3101,23586.6245,23586.6245,23586.6245
AC,501.3761171,501.3813216,500.9258743,500.9258743,500.9258743,500.9258743,500.9258743,1370.470566,1370.462011,1370.4692,1368.6866,1370.4692,1368.682749,1370.855578,1372.22288,1441.273422,1441.3922,1454.586931,1454.196556,1454.196556,627.2546999,970.1942256,50953.67966,50954.93256,50935.0252
CC,0.517778592,0.508974762,0.051152973,0.00668173,0.00668173,0.00668173,0.00668173,3.780610401,3.778346269,3.782,0.2788,3.7819,0.278804192,0.273442189,0.343148524,16.96154675,14.577014,1.580387407,0.330098071,0.330098071,0.408515713,0.618661745,20.78039925,19.18508253,6.571579295
y,"Any[1, 1, 3]",394.1035,"Any[1, 1, 3]","Any[1, 1, 3]","Any[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","Any[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",761.9652,"Any[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","Any[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",,"Any[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[3, 0, 0, 4, 0, 5, 0, 0, 4, 0]","[1, 0, 0, 2, 0, 4, 4, 0, 4, 0]","Any[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]",5017.8601,"Any[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","Any[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","Any[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 4, 2, 4, 4, 4, 4, 4, 5, 2, 4, 3, 4, 0, 4, 4, 5, 4, 4, 3, 4, 4, 4, 0, 3, 0, 5, 4, 2, 3, 4, 0, 4, 4, 0, 2, 4, 5, 4, 4, 0, 4, 4, 4, 4, 4, 4, 5, 4, 4]","[2, 0, 0, 0, 1, 3, 0, 2, 1, 3, 0, 1, 3, 0, 0, 0, 3, 2, 0, 0, 0, 3, 0, 2, 0, 0, 2, 2, 1, 0, 0, 4, 2, 1, 3, 4, 0, 1, 1, 1, 2, 5, 0, 1, 0, 1, 3, 5, 0, 1]","Any[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]",23586.6245,"Any[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]"
CPU_t_s,0.422,0.251,0.031,0.296,0.532,0.25,0.14,38,10.547,15.64,2.11,,3.937,6.375,2.015,10798.876,2516.234,2.062,2.891,18.469,401.828,54.015,46.203,12.001,1.468
,,,,,,,,,,,,,,,,,,,,,6.697133333,,,,
,,,,,,,,,,,,,,,,,,,,,-51.29750775,,,,
,,,,,,,,,,,,,heur_NM / floor,heur_NM / ceil,heur_NM / round,,,,,,,,,,
,,,,,,,,,,,,of,2154.5308,2155.2092,2153.7088,,,,,,,,,,
,,,,,,,,,,,,CPU_s,292.922,754.845,93.453,,,,,,,,,,
,,,,,,,,,,,,CPU_min,4.88,12.58,1.56,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 1, 0, 0, 5, 4, 0, 4, 0]","[1, 0, 1, 3, 0, 5, 0, 0, 5, 0]","[1, 0, 1, 0, 0, 5, 3, 0, 5, 0]",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,round,heur_NM / floor (k/2),heur_NM / 2,heur_NM / 1,,,,,,,,,,
,,,,,,,,,,,,of,2153.7088,2136.2156,2136.2153,,,,,,,,,,
,,,,,,,,,,,,CPU_s,93.453,92.328,76.906,,,,,,,,,,
,,,,,,,,,,,,CPU_min,1.56,1.54,1.28,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 1, 0, 0, 5, 3, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,confirm 1 ,heur_NM / floor,heur_NM / ceil,heur_NM / round,,,,,,,,,,
,,,,,,,,,,,,of,2136.2161,2136.2161,2136.2161,,,,,,,,,,
,,,,,,,,,,,,CPU_s,191.141,299.328,83.5,,,,,,,,,,
,,,,,,,,,,,,CPU_min,3.19,4.99,1.39,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,see 2,heur_NM / floor,heur_NM / ceil,heur_NM / round,,,,,,,,,,
,,,,,,,,,,,,of,2154.5308,,,,,,,,,,,,
,,,,,,,,,,,,CPU_s,313.547,,,,,,,,,,,,
,,,,,,,,,,,,CPU_min,5.23,0,0,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 1, 0, 0, 5, 4, 0, 4, 0]",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,arrange centroid?,no arrange,arrange,,,,,,,,,,,
,,,,,,,,,,,,of,2136.2161,,,,,,,,,,,,
,,,,,,,,,,,,CPU_s,83.5,,,,,,,,,,,,
,,,,,,,,,,,,CPU_min,1.39,0,,,,,,,,,,,
,,,,,,,,,,,,y,"[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]",,,,,,,,,,,,
