,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,20,,,,,,,,,,50,,,,,,,,,,70,,,,,,,,,,90,,,,,,,,,
,J,3,,,,,,,,,,10,,,,,,,,,,50,,,,,,,,,,10,,,,,,,,,
,instance,130.txt,,,,,,,,,,235.txt,,,,,,,,,,404.txt,,,,,,,,,,600.txt,,,,,,,,,
,method,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,bendersPK,bendersSH,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,bendersPK,bendersSH,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,bendersPK,bendersSH,heur_NM,heur_FB,nlp,iter_cuts,lazy_cuts,benders,bendersWS,bendersMG,bendersPK,bendersSH,heur_NM,heur_FB
,of,895.9974,895.9938 - 895.9986,895.9974,895.9974,895.9974,895.9974,895.9974,895.9943,895.2434,895.2165,2136.2164,2136.2056 - 2136.2184,2136.2163,2136.2162,2136.2159,2173.2841,2136.216,2136.1537,2136.2159,2331.3669,6476.2418,6473.8293 - 6473.8854,6473.875,6328.2388,6320.6631,6547.6555,6333.501,6324.6931,8182.5935,10773.8935,74561.0542,74560.7421 - 74561.2708,74561.0499,74561.0497,74561.0465,75745.9113,74561.0494,74560.0965,74561.0466,79514.7375
,FC,394.1035,394.1035 - 394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,394.1035,761.9652,761.9652 - 761.9652,761.9652,761.9652,761.9652,791.6755,761.9652,761.9653,761.9652,1073.975,5017.8601,5017.8601 - 5017.8601,5017.8601,4872.7793,4872.7793,5090.0755,4879.4955,4872.7793,7047.8797,9880.4251,23586.6245,23586.6245 - 23586.6245,23586.6245,23586.6247,23586.6244,25956.2049,23586.6244,23586.6245,23586.6245,29056.6574
,AC,501.376,501.3813 - 501.3813,501.3773,501.3749,501.3756,501.3749,501.3756,501.3745,500.9885,500.9699,1370.4709,1370.462 - 1370.462,1370.4703,1370.4725,1370.4704,1371.6707,1370.4739,1370.4134,1370.4708,1251.2559,1440.7558,1441.3868 - 1441.3868,1441.3489,1458.6971,1458.6821,1452.3832,1466.0148,1458.5488,1117.2516,868.0628,50953.8561,50954.9326 - 50954.9326,50953.9462,50953.9492,50953.9193,49769.0286,50953.9543,50952.931,50953.9538,50424.8278
,CC,0.5179,0.509 - 0.5138,0.5166,0.519,0.5183,0.519,0.5183,0.5163,0.1828,0.143,3.7803,3.7783 - 3.7912,3.7809,3.7787,3.7807,3.8831,3.7773,3.7755,3.7803,6.136,17.6259,14.5825 - 14.6385,14.6659,485.4147,1212.7902,712.1333,635.2153,669.5577,17.4622,25.4056,20.5736,19.1851 - 19.7137,20.4791,20.4754,20.506,20.6799,20.4712,20.546,20.4715,33.2523
,y,"[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[2, 0, 0, 5, 0, 5, 0, 0, 4, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[0, 1, 0, 1, 0, 4, 1, 0, 4, 3]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 1, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 4]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 1, 4, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[4, 0, 0, 2, 0, 4, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 0, 4, 5, 0, 2, 0, 0, 4, 0, 0, 4, 4, 0, 0, 5, 0, 4, 4, 2, 0, 4, 0, 0, 5, 0, 2]","[1, 0, 0, 0, 4, 3, 1, 3, 0, 2, 1, 1, 1, 2, 0, 2, 1, 1, 2, 0, 3, 2, 3, 0, 2, 0, 0, 4, 0, 0, 2, 0, 0, 2, 2, 1, 2, 4, 0, 1, 2, 0, 1, 1, 1, 0, 2, 5, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[1, 0, 5, 4, 4, 4, 0, 2, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[1, 4, 4, 2, 4, 0, 2, 0, 2, 0]"
,CPU_t_s,0.469,0.172,0.031,0.141,0.328,0.64,0.203,0.157,1.781,0.234,35.157,11.203,4.813,8.093,5.344,12.125,9.25,7.109,58.125,2.344,10799.344,2442.922,769.094,251.311,156.923,17.547,495.453,491.562,2188.468,348.313,67.173,10.921,10.938,5.922,6.265,9.203,7.109,5.094,74.22,3.202
,status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none,tlim,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none
,Gap vs lazy cuts,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,0.0%,0.0%,0.0%,9.1%,0.0%,0.0%,0.0%,2.2%,2.4%,1.1%,2.2%,2.3%,26.4%,66.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%,0.0%,0.0%,0.0%,6.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,20,,,,,50,,,,,70,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,
,J,3,,,,,10,,,,,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
,instance,130.txt,,,,,235.txt,,,,,404.txt,,,,,600.txt,,,,,,,,,,,,,,,,,,,,,,,,
,method,benders,bendersWS,bendersMG,bendersPK,bendersSH,benders,bendersWS,bendersMG,bendersPK,bendersSH,benders,bendersWS,bendersMG,bendersPK,bendersSH,benders,bendersWS,bendersMG,bendersPK,bendersSH,,,,,,,,,,,,,,,,,,,,
,of,895.9974,895.9974,895.9974,895.9974,895.9943,2136.2162,2136.2159,2173.2841,2136.216,2136.1537,6328.2388,6320.6631,6547.6555,6333.501,6324.6931,74561.0497,74561.0465,75745.9113,74561.0494,74560.0965,,,,,,,,,,,,,,,,,,,,
,FC,394.1035,394.1035,394.1035,394.1035,394.1035,761.9652,761.9652,791.6755,761.9652,761.9653,4872.7793,4872.7793,5090.0755,4879.4955,4872.7793,23586.6247,23586.6244,25956.2049,23586.6244,23586.6245,,,,,,,,,,,,,,,,,,,,
,AC,501.3749,501.3756,501.3749,501.3756,501.3745,1370.4725,1370.4704,1371.6707,1370.4739,1370.4134,1458.6971,1458.6821,1452.3832,1466.0148,1458.5488,50953.9492,50953.9193,49769.0286,50953.9543,50952.931,,,,,,,,,,,,,,,,,,,,
,CC,0.519,0.5183,0.519,0.5183,0.5163,3.7787,3.7807,3.8831,3.7773,3.7755,485.4147,1212.7902,712.1333,635.2153,669.5577,20.4754,20.506,20.6799,20.4712,20.546,,,,,,,,,,,,,,,,,,,,
,y,"[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 1, 3]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[2, 0, 0, 5, 0, 5, 0, 0, 4, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[1, 0, 0, 0, 0, 5, 5, 0, 5, 0]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 1, 4, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 5]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[1, 0, 5, 4, 4, 4, 0, 2, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]","[0, 0, 5, 5, 5, 5, 1, 0, 0, 0]",,,,,,,,,,,,,,,,,,,,
,nodes,1,1,1,1,1,2597,2333,617,1698,2147,23282,25252,2813,25951,55443,1618,5799,1095,2284,5485,,,,,,,,,,,,,,,,,,,,
,f_cut,0,0,0,0,0,0,0,0,0,0,762,665,23,822,1260,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,opt_cut,99,120,186,201,99,737,330,534,1091,707,2646,1898,156,4831,3770,540,375,378,863,489,,,,,,,,,,,,,,,,,,,,
,CPU_t_s,0.141,0.328,0.64,0.203,0.14,8.093,5.344,12.125,9.25,7.937,251.311,156.923,17.547,495.453,537.798,5.922,6.265,9.203,7.109,6.202,,,,,,,,,,,,,,,,,,,,
,status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benders,Traditional Benders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bendersWS,Benders + Warmstart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bendersMG,Magnanti-Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bendersPK,Papadakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bendersSH,Sherali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heur_NM,Nelder-Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heur_FB,"Local search, first best",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
